"Dataset","Approach","Model","NLV","Feature","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"Full","Combined","Model 2","Yes","limited.features",0.585,0.061,0.514,0.596,0.26,0.174,0.514,0.555,0.589,0.214,0.679
"Full","Combined","Model 2","Yes","tuned.features",0.607,0.081,0.522,0.621,0.274,0.186,0.522,0.571,0.598,0.225,0.675
"Full","Structure","Model 1","Yes","all.features",0.571,0.096,0.497,0.607,0.433,0.384,0.497,0.552,0.563,0.389,0.688
"Full","Structure","Model 1","Yes","limited.features",0.579,0.088,0.448,0.643,0.413,0.382,0.448,0.546,0.555,0.389,0.688
"Full","Structure","Model 1","Yes","tuned.features",0.579,0.105,0.488,0.624,0.433,0.39,0.488,0.556,0.562,0.391,0.687
"Full","Structure","Model 2","Yes","all.features",0.586,0.04,0.464,0.607,0.242,0.163,0.464,0.535,0.559,0.183,0.686
"Full","Structure","Model 2","Yes","limited.features",0.609,0.048,0.444,0.636,0.244,0.168,0.444,0.54,0.562,0.183,0.686
"Full","Structure","Model 2","Yes","tuned.features",0.616,0.047,0.433,0.646,0.242,0.168,0.433,0.539,0.561,0.183,0.685
"Full","Sequence","Model 1","Yes","both",0.597,0.116,0.449,0.67,0.424,0.402,0.449,0.56,0.571,0.424,0.682
"Full","Sequence","Model 1","Yes","cdr3",0.53,0.048,0.517,0.536,0.421,0.354,0.517,0.527,0.533,0.397,0.69
"Full","Sequence","Model 1","Yes","full",0.606,0.119,0.426,0.694,0.416,0.407,0.426,0.56,0.576,0.418,0.683
"Full","Sequence","Model 2","Yes","both",0.604,0.079,0.521,0.618,0.272,0.184,0.521,0.569,0.597,0.231,0.675
"Full","Sequence","Model 2","Yes","cdr3",0.545,0.057,0.572,0.541,0.264,0.171,0.572,0.557,0.58,0.205,0.683
"Full","Sequence","Model 2","Yes","full",0.658,0.072,0.41,0.699,0.254,0.184,0.41,0.555,0.587,0.207,0.68
"Full","Combined","Model 1","No","all.features",0.595,0.123,0.468,0.66,0.437,0.409,0.468,0.564,0.585,0.451,0.675
