"Dataset","Approach","Model","NLV","Feature","(Intercept)","avg.euc.dist","avg.kas","top.sg.median.kas","top.sg.euc.dist","avg.spearman","top.cosine.sim","kernel.count","CDR3.similarity","full.similarity"
"CDR3","Combined","Model 1","Yes","all.features",-0.026622715422766,0.0656790286410732,-0.0339565885548097,0.0821783974072083,0.030134770825597,0.137546097020798,-0.0383474878009335,-0.0137758623972053,0.0863172625906256,0.330568846204784
"CDR3","Combined","Model 1","Yes","tuned.features",-0.025773881723359,0.0612881514802262,0,0.0493314638515572,0.0275859771295017,0.128102407245724,-0.0317462204561494,0,0.0822569775846115,0.312500972638734
"CDR3","Combined","Model 1","Yes","limited.features",-0.0175313714694432,0.0568254776203821,NA,0.0769681523540059,NA,0.178442779627807,NA,0.168335096407005,0.151900019099303,NA
"CDR3","Combined","Model 2","Yes","all.features",-0.0776151539715866,-0.0145688515765024,0.00921208168130055,0.0755083504078943,0.0536462625154674,0.0981177000862014,-0.0359660659830341,0.0356569020350378,0.188543426888982,0.281548574347165
"CDR3","Combined","Model 2","Yes","tuned.features",-0.0767928922678451,0,0.0105209778947193,0.0714812614835867,0.0327064188966214,0.0938079175754966,-0.0280659596864304,0.0282912760728009,0.184288105409019,0.27964865854858
"CDR3","Combined","Model 2","Yes","limited.features",-0.069360259376,0.0492101832659662,NA,0.116042626710191,NA,0.149303285112118,NA,0.136705164911587,0.239119456097405,NA
"CDR3","Structure","Model 1","Yes","all.features",-0.0167409594841735,0.0302394217832302,-0.0132286161875979,0.0991704920364104,0.0286271818923029,0.180621287036922,-0.0176773345531902,0.197146310737794,NA,NA
"CDR3","Structure","Model 1","Yes","tuned.features",-0.0165019143514033,0.0201959502039103,0,0.0845251506029005,0.0204978349378681,0.172163314366416,-0.00895348813797157,0.179271505912474,NA,NA
"CDR3","Structure","Model 1","Yes","limited.features",-0.0139634082237324,0.0536200105896749,NA,0.0768030819268137,NA,0.185792767083416,NA,0.215681679545013,NA,NA
"CDR3","Structure","Model 2","Yes","all.features",-0.0456857548049772,-0.0415255030749279,0.0244993500998324,0.0922607721671601,0.0514264415280322,0.147080605664211,-0.0154424312311312,0.247190828948874,NA,NA
"CDR3","Structure","Model 2","Yes","tuned.features",-0.0450327707027034,-0.0200666720212136,0.0263651758651191,0.087029305029709,0.0236736566005546,0.141197904366855,-0.00563696711394816,0.23624778948482,NA,NA
"CDR3","Structure","Model 2","Yes","limited.features",-0.048410645676252,0.0424440396558608,NA,0.115834886608176,NA,0.162246118621458,NA,0.20495696930875,NA,NA
"CDR3","Sequence","Model 1","Yes","all.features",-0.0167409594841735,0.0302394217832302,-0.0132286161875979,0.0991704920364104,0.0286271818923029,0.180621287036922,-0.0176773345531902,0.197146310737794,NA,NA
"CDR3","Sequence","Model 1","Yes","tuned.features",-0.0165019143514033,0.0201959502039103,0,0.0845251506029005,0.0204978349378681,0.172163314366416,-0.00895348813797157,0.179271505912474,NA,NA
"CDR3","Sequence","Model 1","Yes","limited.features",-0.0139634082237324,0.0536200105896749,NA,0.0768030819268137,NA,0.185792767083416,NA,0.215681679545013,NA,NA
"CDR3","Sequence","Model 2","Yes","all.features",-0.0456857548049772,-0.0415255030749279,0.0244993500998324,0.0922607721671601,0.0514264415280322,0.147080605664211,-0.0154424312311312,0.247190828948874,NA,NA
"CDR3","Sequence","Model 2","Yes","tuned.features",-0.0450327707027034,-0.0200666720212136,0.0263651758651191,0.087029305029709,0.0236736566005546,0.141197904366855,-0.00563696711394816,0.23624778948482,NA,NA
"CDR3","Sequence","Model 2","Yes","limited.features",-0.048410645676252,0.0424440396558608,NA,0.115834886608176,NA,0.162246118621458,NA,0.20495696930875,NA,NA
"Full","Combined","Model 1","Yes","all.features",-0.0138499151409701,0.0583948394687686,-0.197013904619737,0.119631254558413,-0.0218121823677737,-0.0492853061641441,-0.10880441715851,0.181620933890484,0.0670694418503382,0.214813193911514
"Full","Combined","Model 1","Yes","tuned.features",-0.0137962811500468,0.047726020188236,-0.171175514004801,0.0951514921181443,-0.0116221157224875,-0.0456276806190033,-0.103519589950471,0.1758425032757,0.0653063291185348,0.211396170713188
