"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0596621361499271,5.40199174269486e-08,-0.0431828486035887,0.0705011600337241,-0.0403658294795187,0.000205314277011048
"avg.euc.dist",-0.00021337580424983,0.986939447718222,-0.0127406251776596,0.649443746370896,NA,NA
"top.sg.median.kas",0.051544283933134,4.22748381287793e-05,0.0578345368626665,0.0304784878468713,NA,NA
"avg.spearman",0.135941780082498,1.09396336586344e-23,0.112305803654989,0.000149855880911041,NA,NA
"kernel.count",0.175387660134544,1.55672036949153e-35,0.24839344647895,1.41608363014017e-17,NA,NA
"CDR3.similarity",0.252730614075696,1.78053861382919e-111,NA,NA,0.331188089126728,6.271355172297e-229
