"term","all.features","all.features.p.value","tuned.features","tuned.penalty"
"(Intercept)",-0.0630553042176799,0.0259547155573716,-0.0605940335703787,0.00376493580679246
"avg.kas",0.100529325963337,0.0316976145286445,0.0723178503360969,0.00376493580679246
"avg.euc.dist",0.0305697236051401,0.478851307361506,0.00656985436574164,0.00376493580679246
"avg.spearman",0.0834549241060091,0.0102042573631784,0.070557267411722,0.00376493580679246
"top.sg.euc.dist",0.0606581424203537,0.151756678116364,0.0433306944938016,0.00376493580679246
"top.sg.cosine.sim",-0.0158430620604923,0.627080216677621,0,0.00376493580679246
"kernel.count",0.321854450425729,4.98455206117466e-20,0.284781038796806,0.00376493580679246
"top.kas",-0.0270524225295888,0.576481595750926,0,0.00376493580679246
