"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0117149353980701,0.48767242308747,-0.00653283447007444,0.773190269096217,-0.0113175937098606,0.501831643243619
"avg.euc.dist",0.0232284970703567,0.257364565839255,0.00402394991420732,0.883967778564648,NA,NA
"top.sg.median.kas",-0.0814678177238718,2.31593497922328e-05,-0.0446184083162532,0.077620892775509,NA,NA
"avg.spearman",-0.003296466314707,0.866821953812109,0.00790919301294143,0.757407682082659,NA,NA
"top.cosine.sim",-0.0558851088664875,0.00233758960052188,-0.0429502853541377,0.0770197188406241,NA,NA
"kernel.count",0.149039390748463,5.99736265678911e-09,0.304857743453795,3.72828282026625e-25,NA,NA
"CDR3.similarity",0.087092415482553,1.92946245587686e-06,NA,NA,0.068933863882951,0.000120187469800732
"full.similarity",0.225951030698682,8.38323928241195e-20,NA,NA,0.279912386790841,1.15351520501963e-53
