"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0134465332789361,0.580799513518461,-0.00669422041652353,0.713999020210912,-0.0133955926422898,0.581782034714127
"top.sg.euc.dist",-0.00690499908245172,0.810245503202362,-0.0195348681367894,0.367325751472358,NA,NA
"top.kas",-0.0623656145183566,0.0358514357565427,-0.0610817457546867,0.00635421822476158,NA,NA
"avg.spearman",-0.012644242593816,0.641944944193296,0.0270724228143053,0.189425580675671,NA,NA
"top.cosine.sim",-0.0263385749072571,0.317982150708142,-0.00636554211038457,0.749494559122646,NA,NA
"kernel.count",0.110543627431135,0.00360476290861478,0.292437161253931,7.33037264999362e-31,NA,NA
"CDR3.similarity",0.10308357892129,7.90553799188687e-05,NA,NA,0.0843392040805343,0.00122439183230872
"full.similarity",0.257337176357711,4.21997589349632e-13,NA,NA,0.300669293494595,4.34902570059657e-30
