"term","combined.estimate","combined.p.value","structure.estimate","structure.p.value","sequence.estimate","sequence.p.value"
"(Intercept)",-0.0417213299673292,9.85430872662519e-06,-0.0228332472334516,0.314692921984774,-0.0289038540921997,0.204468432902376
"avg.euc.dist",-0.0199233474625803,0.0796740308638482,-0.0397036750611018,0.140707409112692,NA,NA
"top.sg.median.kas",0.0509002020338778,1.02976956246363e-06,0.0705902974762947,0.00422311675930012,NA,NA
"avg.spearman",-0.0037953103742388,0.72262557244025,-0.00171977546453536,0.943745828501214,NA,NA
"kernel.count",0.16948382442085,1.10829919223591e-47,0.210984938908327,1.09021155440375e-14,NA,NA
"CDR3.similarity",0.235669173538358,3.94204782744384e-134,NA,NA,0.254497564366327,1.14801548468552e-31
